Item No,Item Name,Category,Formula,Plain Formula,Quantity,Unit,Location / Block,Grade,Notes
44,"Lithium Carbonate, Extra Pure","Chemical","Li₂CO₃","Li2CO3","500","g","Block 3","Extra Pure",""
45,"Magnesium (Metal) Powder","Chemical","Mg","Mg","100","g","Block 4","Laboratory Grade",""
46,"Magnesium Oxide","Chemical","MgO","MgO","350 x 3","g","Block 4","Laboratory Grade",""
47,"Magnesium Oxide","Chemical","MgO","MgO","500","g","Block 4","Laboratory Grade",""
48,"Magnesium Powder","Chemical","Mg","Mg","100","g","Block 4","Laboratory Grade",""
49,"Magnesium Sulfate","Chemical","MgSO₄","MgSO4","","","Block 3","Laboratory Grade",""
50,"Manganese Carbonate","Chemical","MnCO₃","MnCO3","500 x 2","g","Block 4","Laboratory Grade",""
51,"Manganese Dioxide","Chemical","MnO₂","MnO2","500","g","Block 4","Laboratory Grade",""
52,"Manganese(II) Acetate Tetrahydrate AR","Chemical","Mn(CH₃COO)₂·4H₂O","Mn(CH3COO)2.4H2O","500 x 2","g","Block 4","AR Grade",""
53,"Methyl Orange","Chemical","C₁₄H₁₄N₃NaO₃S","C14H14N3NaO3S","25 x 2","g","Block 4","Laboratory Grade",""
54,"Methyl Sulfide","Chemical","C₂H₆S","C2H6S","250","mL","Block 4","Laboratory Grade",""
55,"Methylene Blue AR","Chemical","C₁₆H₁₈ClN₃S","C16H18ClN3S","25","g","Block 4","AR Grade",""
56,"Nickel Disulphate","Chemical","Ni(SO₄)₂","Ni(SO4)2","","","Block 5","Laboratory Grade",""
57,"Nickel Nitrate","Chemical","Ni(NO₃)₂","Ni(NO3)2","100","g","Block 5","Laboratory Grade",""
58,"Nickel Sulphate","Chemical","NiSO₄","NiSO4","","","Block 5","Laboratory Grade",""
59,"Nickel(II) Chloride Hexahydrate Extra Pure","Chemical","NiCl₂·6H₂O","NiCl2.6H2O","500","g","Block 5","Extra Pure",""
60,"Nickel(II) Oxide","Chemical","NiO","NiO","100","g","Block 5","Laboratory Grade",""
61,"Niobium Pentoxide","Chemical","Nb₂O₅","Nb2O5","10","g","Block 5","Laboratory Grade",""
62,"Oxalic Acid","Chemical","H₂C₂O₄","H2C2O4","500","g","Block 3","Laboratory Grade",""
63,"Poly(ethylene oxide)","Chemical","(C₂H₄O)ₙ","(C2H4O)n","","","Block 5","Laboratory Grade",""
64,"Poly(vinylidene fluoride-co-hexafluoropropylene)","Chemical","[-CF₂-CF₂-]ₙ[-CF₂-CF(CF₃)-]ₘ","[-CF2-CF2-]n[-CF2-CF(CF3)-]m","x3","","Block 5","Laboratory Grade",""
65,"Potassium Chloride AR","Chemical","KCl","KCl","500","g","Block 5","AR Grade",""
66,"Potassium Hydroxide","Chemical","KOH","KOH","","","Block 5","Laboratory Grade",""
67,"Potassium Iodide AR","Chemical","KI","KI","500","g","Block 5","AR Grade",""
68,"Potassium Iodide Pure","Chemical","KI","KI","500 x 2","g","Block 5","Laboratory Grade",""
69,"Potassium Permanganate","Chemical","KMnO₄","KMnO4","500","g","Block 5","Laboratory Grade",""
70,"Potassium Thiocyanate","Chemical","KSCN","KSCN","500","g","Block 5","Laboratory Grade",""
71,"Potassium Thiocyanate Purified","Chemical","KSCN","KSCN","500","g","Block 5","Laboratory Grade",""
72,"PVDF","Chemical","[C₂H₂F₂]ₙ","[C2H2F2]n","","","Block 5","Laboratory Grade",""
73,"Selenium Dioxide","Chemical","SeO₂","SeO2","","","Block 7","Laboratory Grade",""
74,"Silica Gel","Chemical","SiO₂·nH₂O","SiO2.nH2O","100 x 2","g","Block 7","Laboratory Grade",""
75,"Silver Nitrate","Chemical","AgNO₃","AgNO3","","","Block 7","Laboratory Grade",""
76,"Silver Nitrate AR","Chemical","AgNO₃","AgNO3","25","g","Block 7","AR Grade",""
77,"Sodium Acetate","Chemical","CH₃COONa","CH3COONa","","","Block 6","Laboratory Grade",""
78,"Sodium Acetate","Chemical","CH₃COONa","CH3COONa","","","Block 6","Laboratory Grade",""
79,"Sodium Acetate AR","Chemical","CH₃COONa","CH3COONa","500","g","Block 6","AR Grade",""
80,"Sodium Bicarbonate","Chemical","NaHCO₃","NaHCO3","","","Block 6","Laboratory Grade",""
81,"Sodium Biphospate Dihydrate","Chemical","NaH₂PO₄·2H₂O","NaH2PO4.2H2O","","","Block 6","Laboratory Grade",""
82,"Sodium Carbonate","Chemical","Na₂CO₃","Na2CO3","500","g","Block 6","Laboratory Grade",""
83,"Sodium Carbonate","Chemical","Na₂CO₃","Na2CO3","500","g","Block 6","Laboratory Grade",""
84,"Sodium Carbonate Monohydrate","Chemical","Na₂CO₃·H₂O","Na2CO3.H2O","500","g","Block 6","Laboratory Grade",""
85,"Sodium Hydroxide AR Pellets","Chemical","NaOH","NaOH","","","Block 6","AR Grade",""
86,"Sodium Hydroxide Flakes","Chemical","NaOH","NaOH","500","g","Block 6","Laboratory Grade",""
87,"Sodium Hydroxide Pellets Extra Pure AR ACS Exiplius","Chemical","NaOH","NaOH","500","g","Block 6","AR Grade",""
88,"Sodium Hydroxide Pellets GR","Chemical","NaOH","NaOH","500","g","Block 6","Laboratory Grade",""
89,"Sodium Metal","Chemical","Na","Na","","","Block 6","Laboratory Grade",""
90,"Sodium Metal","Chemical","Na","Na","","","Block 6","Laboratory Grade",""
91,"Sodium Metal","Chemical","Na","Na","","","Block 6","Laboratory Grade",""
92,"Sodium Sulphate","Chemical","Na₂SO₄","Na2SO4","500","g","Block 6","Laboratory Grade",""
93,"Sodium Sulphate","Chemical","Na₂SO₄","Na2SO4","300","g","Block 6","Laboratory Grade",""
94,"Sodium Sulphate AR (Anhydrous)","Chemical","Na₂SO₄","Na2SO4","500","g","Block 6","AR Grade",""
95,"Sodium Sulphide Hydrate, Flakes","Chemical","Na₂S·xH₂O","Na2S.xH2O","500","g","Block 6","Laboratory Grade",""
96,"Sodium Thiosulphate Pentahydrate Extra Pure AR","Chemical","Na₂S₂O₃·5H₂O","Na2S2O3.5H2O","500","g","Block 6","AR Grade",""
97,"Tin (Metal Powder)","Chemical","Sn","Sn","100","g","Block 7","Laboratory Grade",""
98,"Tin(II) Chloride","Chemical","SnCl₂","SnCl2","250 x 1","g","Block 7","Laboratory Grade",""
99,"Tin(II) Chloride Dihydrate","Chemical","SnCl₂·2H₂O","SnCl2.2H2O","500","g","Block 7","Laboratory Grade",""
100,"Tin(IV) Chloride Pentahydrate Purified","Chemical","SnCl₄·5H₂O","SnCl4.5H2O","500","g","Block 7","Laboratory Grade",""
101,"Tin(IV) Oxide","Chemical","SnO₂","SnO2","500","g","Block 7","Laboratory Grade",""
102,"Titanium Dioxide","Chemical","TiO₂","TiO2","500 x 2","g","Block 7","Laboratory Grade",""
103,"Zinc Acetate Extra Pure AR","Chemical","Zn(CH₃COO)₂·2H₂O","Zn(CH3COO)2.2H2O","500","g","Block 8","AR Grade",""
104,"Zinc Chloride","Chemical","ZnCl₂","ZnCl2","500","g","Block 8","Laboratory Grade",""
105,"Zinc Chloride Purified","Chemical","ZnCl₂","ZnCl2","500","g","Block 8","Laboratory Grade",""
106,"Zinc Nitrate Hexahydrate","Chemical","Zn(NO₃)₂·6H₂O","Zn(NO3)2.6H2O","500 x 3","g","Block 8","Laboratory Grade",""
107,"Zinc Oxide","Chemical","ZnO","ZnO","500 x 2","g","Block 8","Laboratory Grade",""
108,"Zinc Oxide AR","Chemical","ZnO","ZnO","500 x 2","g","Block 8","AR Grade",""
109,"Zinc Oxide Extra Pure AR","Chemical","ZnO","ZnO","500","g","Block 8","AR Grade",""
110,"Zinc Sulphate Monohydrate","Chemical","ZnSO₄·H₂O","ZnSO4.H2O","500","g","Block 8","Laboratory Grade",""
111,"Zinc Sulphate Purified LR","Chemical","ZnSO₄·7H₂O","ZnSO4.7H2O","500","g","Block 8","Laboratory Grade",""
112,"Zirconium Oxychloride","Chemical","ZrOCl₂·8H₂O","ZrOCl2.8H2O","250","g","Block 8","Laboratory Grade",""
302,"Acetic Acid","Chemical","CH₃COOH","CH3COOH","2","Cans","Acid Cabinet","Glacial","Packaging: Can. Glacial organic carboxylic acid."
303,"Acetone","Chemical","CH₃COCH₃","CH3COCH3","3","Bottles","Solvent Cabinet","Reagent Grade","Volatile organic ketone solvent for organic synthesis and cleaning."
304,"Butanol","Chemical","C₄H₉OH","C4H9OH","","","Solvent Cabinet","Reagent Grade","1-Butanol / n-Butyl alcohol organic solvent."
305,"Calcium Chloride Dihydrate","Chemical","CaCl₂·2H₂O","CaCl2.2H2O","3","Bottles","Main Storage","Powder","Form: Powder. Inorganic salt and drying agent / desiccant."
306,"Chlorobenzene","Chemical","C₆H₅Cl","C6H5Cl","1","Bottle","Solvent Cabinet","Reagent Grade","Aromatic halogenated organic solvent."
307,"Cyclohexanone","Chemical","C₆H₁₀O","C6H10O","1","Bottle","Solvent Cabinet","Reagent Grade","Cyclic ketone organic solvent."
308,"Diethyl Carbonate","Chemical","C₅H₁₀O₃","C5H10O3","2","Bottles","Solvent Cabinet","Reagent Grade","Ethyl ester of carbonic acid, electrolyte solvent."
309,"Diethyl Ether","Chemical","(C₂H₅)₂O","(C2H5)2O","1","Bottle","Solvent Cabinet","Reagent Grade","Highly volatile, flammable ether solvent."
310,"Dimethyl Carbonate","Chemical","C₃H₆O₃","C3H6O3","1","Bottle","Solvent Cabinet","Reagent Grade","Methylating agent and organic solvent."
311,"Dimethyl Sulphoxide (DMSO)","Chemical","(CH₃)₂SO","(CH3)2SO","1","Bottle","Solvent Cabinet","Reagent Grade","Polar aprotic solvent."
312,"Ethyl Acetate","Chemical","CH₃COOCH₂CH₃","CH3COOCH2CH3","1","Bottle","Solvent Cabinet","Reagent Grade","Organic ester solvent."
313,"Ethyl Alcohol","Chemical","C₂H₅OH","C2H5OH","1","Bottle","Solvent Cabinet","Reagent Grade","Absolute Ethanol alcohol solvent."
314,"Ethylene Carbonate","Chemical","C₃H₄O₃","C3H4O3","2","Bottles","Storage / Refrigerator","99%","Purity: 99%. 1 bottle in general storage, 1 bottle in Refrigerator."
315,"Formaldehyde Solution","Chemical","CH₂O","CH2O","1","Bottle","Main Storage","Solution","Aqueous formalin solution."
316,"Formic Acid","Chemical","HCOOH","HCOOH","2","Bottles","Acid Cabinet","98%","Purity: 98%. Methanoic acid, corrosive carboxylic acid."
317,"Glycerin","Chemical","C₃H₈O₃","C3H8O3","","","Main Storage","Pure","Glycerol, viscous triol compound."
318,"Heptane","Chemical","C₇H₁₆","C7H16","1","Bottle","Solvent Cabinet","Reagent Grade","Non-polar alkane hydrocarbon solvent."
319,"H₂O₂ (Hydrogen Peroxide)","Chemical","H₂O₂","H2O2","","","Oxidizer Storage","Oxidizer Grade","Hydrogen Peroxide aqueous solution, strong oxidizing agent."
320,"Lactic Acid","Chemical","C₃H₆O₃","C3H6O3","","","Main Storage","Pure","2-Hydroxypropanoic acid."
321,"m-Cresol","Chemical","C₇H₈O","C7H8O","1","Bottle","Solvent Cabinet","Pure","Organic aromatic phenol derivative (3-methylphenol)."
322,"Methanol","Chemical","CH₃OH","CH3OH","3","Bottles","Solvent Cabinet","Reagent Grade","Methyl alcohol solvent for HPLC and laboratory synthesis."
323,"Methyl Amine Solution","Chemical","CH₃NH₂","CH3NH2","1","Bottle","Main Storage","Solution","Monomethylamine aqueous solution."
324,"N,N-Dimethylformamide (DMF)","Chemical","HCON(CH₃)₂","HCON(CH3)2","1","Bottle","Solvent Cabinet","AR","Polar aprotic solvent for peptide synthesis and chemical reactions."
325,"PEG 400","Chemical","H(OCH₂CH₂)ₙOH","H(OCH2CH2)nOH","1","Bottle","Main Storage","Polymer","Polyethylene Glycol 400 average molecular weight."
326,"Phosphoric Acid","Chemical","H₃PO₄","H3PO4","1","Can","Acid Cabinet","Technical / Pure","Packaging: Can. Orthophosphoric acid."
327,"Sulphuric Acid","Chemical","H₂SO₄","H2SO4","2","Bottles","Acid Cabinet","98%","Purity: 98% concentrated sulfuric acid. Highly corrosive strong mineral acid."
328,"Titanium Tetrachloride (TiCl₄)","Chemical","TiCl₄","TiCl4","3","Bottles","Refrigerator / Cabinet","Anhydrous","Storage: 2 in refrigerator, 1 in cabinet. Moisture-sensitive fuming liquid."
329,"Titanium Tetraisopropoxide (TTIP)","Chemical","Ti[OCH(CH₃)₂]₄","Ti[OCH(CH3)2]4","4","Bottles","Main Storage","Pure TTIP","Titanium(IV) isopropoxide precursor for titanium dioxide nanomaterials."
330,"TMOET - Ti[OCH(CH₃)₂]₄","Chemical","Ti[OCH(CH₃)₂]₄","Ti[OCH(CH3)2]4","","","Main Storage","Titanium Alkoxide","Titanium alkoxide precursor / sol-gel reagent."
333,"Bottle of Baking Powder","Chemical","NaHCO₃","NaHCO3","1","bottle","Cupboard 1 (56)","AR / Laboratory Reagent","Sodium bicarbonate formulation for lab demonstrations"
334,"Bottle of Vinegar","Chemical","CH₃COOH (5%)","CH3COOH","2","bottles","Cupboard 1 (56)","AR / Laboratory Reagent","Dilute acetic acid solution"
336,"Coconut Oil Bottle","Chemical","Organic Oil","Organic Oil","1","bottle","Cupboard 1 (56)","AR / Laboratory Reagent","Natural fatty acid triglyceride solvent/substrate"
337,"Domba Oil Bottle (180 mL)","Chemical","Calophyllum inophyllum seed oil","Natural Oil","1","bottle (180 mL)","Cupboard 1 (56)","AR / Laboratory Reagent","Natural seed oil extract"
339,"Formic Acid (500 mL)","Chemical","HCOOH","HCOOH","1","bottle (500 mL)","Cupboard 1 (56)","AR / Laboratory Reagent","Methanoic acid 500 mL"
341,"Glycerin Bottle (60 mL)","Chemical","C₃H₈O₃","C3H8O3","1","bottle (60 mL)","Cupboard 1 (56)","AR / Laboratory Reagent","Glycerol 60 mL triol"
342,"Hydrogen Peroxide Bottle (200 mL)","Chemical","H₂O₂","H2O2","1","bottle (200 mL)","Cupboard 1 (56)","AR / Laboratory Reagent","Hydrogen peroxide solution 200 mL"
343,"Lactic Acid Bottle (500 mL)","Chemical","C₃H₆O₃","C3H6O3","1","bottle (500 mL)","Cupboard 1 (56)","AR / Laboratory Reagent","2-Hydroxypropanoic acid 500 mL"
345,"Mee Oil Bottle (60 mL)","Chemical","Madhuca longifolia oil","Natural Oil","1","bottle (60 mL)","Cupboard 1 (56)","AR / Laboratory Reagent","Natural seed oil 60 mL"
346,"Methanol Bottle","Chemical","CH₃OH","CH3OH","2","bottles","Cupboard 1 (56)","AR / Laboratory Reagent","Methyl alcohol bottles"
347,"MgSO₄ Bottle (Packet Made)","Chemical","MgSO₄","MgSO4","1","bottle","Cupboard 1 (56)","AR / Laboratory Reagent","Magnesium Sulphate (Packet Made)"
348,"n-Butanol Bottle","Chemical","C₄H₉OH","C4H9OH","1","bottle","Cupboard 1 (56)","AR / Laboratory Reagent","1-Butanol alcohol solvent"
349,"Pack of Yeast","Chemical","Biological Reagent","Yeast","1","pack","Cupboard 1 (56)","AR / Laboratory Reagent","Saccharomyces cerevisiae culture reagent"
353,"Titanium Tetra Isopropoxide (500 mL)","Chemical","Ti[OCH(CH₃)₂]₄","Ti[OCH(CH3)2]4","1","bottle (500 mL)","Cupboard 1 (56)","AR / Laboratory Reagent","TTIP titanium precursor 500 mL"
354,"Titanium(IV) Isopropoxide (500 mL)","Chemical","Ti[OCH(CH₃)₂]₄","Ti[OCH(CH3)2]4","1","bottle (500 mL)","Cupboard 1 (56)","AR / Laboratory Reagent","Titanium(IV) isopropoxide 500 mL"
384,"Citric Acid (500 g)","Chemical","C₆H₈O₇","C6H8O7","1","bottle (500 g)","Cupboard 1 (40)","AR / Laboratory Reagent","2-Hydroxypropane-1,2,3-tricarboxylic acid 500 g"
402,"Mee Oil Bottle (60 mL)","Chemical","Madhuca longifolia oil","Natural Oil","1","bottle (60 mL)","Cupboard 1 (40)","AR / Laboratory Reagent","Natural seed oil bottle"
403,"Methanol Bottle","Chemical","CH₃OH","CH3OH","2","bottles","Cupboard 1 (40)","AR / Laboratory Reagent","Methyl alcohol reagent bottles"
406,"n-Butanol Bottle","Chemical","C₄H₉OH","C4H9OH","1","bottle","Cupboard 1 (40)","AR / Laboratory Reagent","1-Butanol alcohol solvent bottle"
410,"pH 6.86 Calibration Buffer Powder","Chemical","KH₂PO₄ + Na₂HPO₄","KH2PO4 + Na2HPO4","1","packet","Cupboard 1 (40)","AR / Laboratory Reagent","Precision phosphate buffer for pH electrode calibration at 25°C"
418,"Silver Nitrate (25 g)","Chemical","AgNO₃","AgNO3","1","bottle (25 g)","Cupboard 1 (40)","AR / Laboratory Reagent","Analytical reagent grade silver nitrate crystals 25 g"
428,"Titanium Tetra Isopropoxide (50 mL)","Chemical","Ti[OCH(CH₃)₂]₄","Ti[OCH(CH3)2]4","1","bottle (50 mL)","Cupboard 1 (40)","AR / Laboratory Reagent","TTIP titanium alkoxide precursor 50 mL"
429,"Titanium(IV) Isopropoxide (500 mL)","Chemical","Ti[OCH(CH₃)₂]₄","Ti[OCH(CH3)2]4","1","bottle (500 mL)","Cupboard 1 (40)","AR / Laboratory Reagent","Titanium(IV) isopropoxide 500 mL"
439,"Zinc Acetate (500 g)","Chemical","Zn(CH₃COO)₂·2H₂O","Zn(CH3COO)2.2H2O","1","bottle (500 g)","Cupboard 1 (40)","AR / Laboratory Reagent","Zinc acetate dihydrate 500 g"
