Item No,Item Name,Category,Formula,Plain Formula,Quantity,Unit,Location / Block,Grade,Notes
44,"Lithium Carbonate, Extra Pure","Chemical","Li₂CO₃","Li2CO3","500","g","Block 3","Extra Pure",""
45,"Magnesium (Metal) Powder","Chemical","Mg","Mg","100","g","Block 4","Laboratory Grade",""
46,"Magnesium Oxide","Chemical","MgO","MgO","350 x 3","g","Block 4","Laboratory Grade",""
47,"Magnesium Oxide","Chemical","MgO","MgO","500","g","Block 4","Laboratory Grade",""
48,"Magnesium Powder","Chemical","Mg","Mg","100","g","Block 4","Laboratory Grade",""
49,"Magnesium Sulfate","Chemical","MgSO₄","MgSO4","","","Block 3","Laboratory Grade",""
50,"Manganese Carbonate","Chemical","MnCO₃","MnCO3","500 x 2","g","Block 4","Laboratory Grade",""
51,"Manganese Dioxide","Chemical","MnO₂","MnO2","500","g","Block 4","Laboratory Grade",""
52,"Manganese(II) Acetate Tetrahydrate AR","Chemical","Mn(CH₃COO)₂·4H₂O","Mn(CH3COO)2.4H2O","500 x 2","g","Block 4","AR Grade",""
53,"Methyl Orange","Chemical","C₁₄H₁₄N₃NaO₃S","C14H14N3NaO3S","25 x 2","g","Block 4","Laboratory Grade",""
54,"Methyl Sulfide","Chemical","C₂H₆S","C2H6S","250","mL","Block 4","Laboratory Grade",""
55,"Methylene Blue AR","Chemical","C₁₆H₁₈ClN₃S","C16H18ClN3S","25","g","Block 4","AR Grade",""
56,"Nickel Disulphate","Chemical","Ni(SO₄)₂","Ni(SO4)2","","","Block 5","Laboratory Grade",""
57,"Nickel Nitrate","Chemical","Ni(NO₃)₂","Ni(NO3)2","100","g","Block 5","Laboratory Grade",""
58,"Nickel Sulphate","Chemical","NiSO₄","NiSO4","","","Block 5","Laboratory Grade",""
59,"Nickel(II) Chloride Hexahydrate Extra Pure","Chemical","NiCl₂·6H₂O","NiCl2.6H2O","500","g","Block 5","Extra Pure",""
60,"Nickel(II) Oxide","Chemical","NiO","NiO","100","g","Block 5","Laboratory Grade",""
61,"Niobium Pentoxide","Chemical","Nb₂O₅","Nb2O5","10","g","Block 5","Laboratory Grade",""
62,"Oxalic Acid","Chemical","H₂C₂O₄","H2C2O4","500","g","Block 3","Laboratory Grade",""
63,"Poly(ethylene oxide)","Chemical","(C₂H₄O)ₙ","(C2H4O)n","","","Block 5","Laboratory Grade",""
64,"Poly(vinylidene fluoride-co-hexafluoropropylene)","Chemical","[-CF₂-CF₂-]ₙ[-CF₂-CF(CF₃)-]ₘ","[-CF2-CF2-]n[-CF2-CF(CF3)-]m","x3","","Block 5","Laboratory Grade",""
65,"Potassium Chloride AR","Chemical","KCl","KCl","500","g","Block 5","AR Grade",""
66,"Potassium Hydroxide","Chemical","KOH","KOH","","","Block 5","Laboratory Grade",""
67,"Potassium Iodide AR","Chemical","KI","KI","500","g","Block 5","AR Grade",""
68,"Potassium Iodide Pure","Chemical","KI","KI","500 x 2","g","Block 5","Laboratory Grade",""
69,"Potassium Permanganate","Chemical","KMnO₄","KMnO4","500","g","Block 5","Laboratory Grade",""
70,"Potassium Thiocyanate","Chemical","KSCN","KSCN","500","g","Block 5","Laboratory Grade",""
71,"Potassium Thiocyanate Purified","Chemical","KSCN","KSCN","500","g","Block 5","Laboratory Grade",""
72,"PVDF","Chemical","[C₂H₂F₂]ₙ","[C2H2F2]n","","","Block 5","Laboratory Grade",""
73,"Selenium Dioxide","Chemical","SeO₂","SeO2","","","Block 7","Laboratory Grade",""
74,"Silica Gel","Chemical","SiO₂·nH₂O","SiO2.nH2O","100 x 2","g","Block 7","Laboratory Grade",""
75,"Silver Nitrate","Chemical","AgNO₃","AgNO3","","","Block 7","Laboratory Grade",""
76,"Silver Nitrate AR","Chemical","AgNO₃","AgNO3","25","g","Block 7","AR Grade",""
77,"Sodium Acetate","Chemical","CH₃COONa","CH3COONa","","","Block 6","Laboratory Grade",""
78,"Sodium Acetate","Chemical","CH₃COONa","CH3COONa","","","Block 6","Laboratory Grade",""
79,"Sodium Acetate AR","Chemical","CH₃COONa","CH3COONa","500","g","Block 6","AR Grade",""
80,"Sodium Bicarbonate","Chemical","NaHCO₃","NaHCO3","","","Block 6","Laboratory Grade",""
81,"Sodium Biphospate Dihydrate","Chemical","NaH₂PO₄·2H₂O","NaH2PO4.2H2O","","","Block 6","Laboratory Grade",""
82,"Sodium Carbonate","Chemical","Na₂CO₃","Na2CO3","500","g","Block 6","Laboratory Grade",""
83,"Sodium Carbonate","Chemical","Na₂CO₃","Na2CO3","500","g","Block 6","Laboratory Grade",""
84,"Sodium Carbonate Monohydrate","Chemical","Na₂CO₃·H₂O","Na2CO3.H2O","500","g","Block 6","Laboratory Grade",""
85,"Sodium Hydroxide AR Pellets","Chemical","NaOH","NaOH","","","Block 6","AR Grade",""
86,"Sodium Hydroxide Flakes","Chemical","NaOH","NaOH","500","g","Block 6","Laboratory Grade",""
87,"Sodium Hydroxide Pellets Extra Pure AR ACS Exiplius","Chemical","NaOH","NaOH","500","g","Block 6","AR Grade",""
88,"Sodium Hydroxide Pellets GR","Chemical","NaOH","NaOH","500","g","Block 6","Laboratory Grade",""
89,"Sodium Metal","Chemical","Na","Na","","","Block 6","Laboratory Grade",""
90,"Sodium Metal","Chemical","Na","Na","","","Block 6","Laboratory Grade",""
91,"Sodium Metal","Chemical","Na","Na","","","Block 6","Laboratory Grade",""
92,"Sodium Sulphate","Chemical","Na₂SO₄","Na2SO4","500","g","Block 6","Laboratory Grade",""
93,"Sodium Sulphate","Chemical","Na₂SO₄","Na2SO4","300","g","Block 6","Laboratory Grade",""
94,"Sodium Sulphate AR (Anhydrous)","Chemical","Na₂SO₄","Na2SO4","500","g","Block 6","AR Grade",""
95,"Sodium Sulphide Hydrate, Flakes","Chemical","Na₂S·xH₂O","Na2S.xH2O","500","g","Block 6","Laboratory Grade",""
96,"Sodium Thiosulphate Pentahydrate Extra Pure AR","Chemical","Na₂S₂O₃·5H₂O","Na2S2O3.5H2O","500","g","Block 6","AR Grade",""
97,"Tin (Metal Powder)","Chemical","Sn","Sn","100","g","Block 7","Laboratory Grade",""
98,"Tin(II) Chloride","Chemical","SnCl₂","SnCl2","250 x 1","g","Block 7","Laboratory Grade",""
99,"Tin(II) Chloride Dihydrate","Chemical","SnCl₂·2H₂O","SnCl2.2H2O","500","g","Block 7","Laboratory Grade",""
100,"Tin(IV) Chloride Pentahydrate Purified","Chemical","SnCl₄·5H₂O","SnCl4.5H2O","500","g","Block 7","Laboratory Grade",""
101,"Tin(IV) Oxide","Chemical","SnO₂","SnO2","500","g","Block 7","Laboratory Grade",""
102,"Titanium Dioxide","Chemical","TiO₂","TiO2","500 x 2","g","Block 7","Laboratory Grade",""
103,"Zinc Acetate Extra Pure AR","Chemical","Zn(CH₃COO)₂·2H₂O","Zn(CH3COO)2.2H2O","500","g","Block 8","AR Grade",""
104,"Zinc Chloride","Chemical","ZnCl₂","ZnCl2","500","g","Block 8","Laboratory Grade",""
105,"Zinc Chloride Purified","Chemical","ZnCl₂","ZnCl2","500","g","Block 8","Laboratory Grade",""
106,"Zinc Nitrate Hexahydrate","Chemical","Zn(NO₃)₂·6H₂O","Zn(NO3)2.6H2O","500 x 3","g","Block 8","Laboratory Grade",""
107,"Zinc Oxide","Chemical","ZnO","ZnO","500 x 2","g","Block 8","Laboratory Grade",""
108,"Zinc Oxide AR","Chemical","ZnO","ZnO","500 x 2","g","Block 8","AR Grade",""
109,"Zinc Oxide Extra Pure AR","Chemical","ZnO","ZnO","500","g","Block 8","AR Grade",""
110,"Zinc Sulphate Monohydrate","Chemical","ZnSO₄·H₂O","ZnSO4.H2O","500","g","Block 8","Laboratory Grade",""
111,"Zinc Sulphate Purified LR","Chemical","ZnSO₄·7H₂O","ZnSO4.7H2O","500","g","Block 8","Laboratory Grade",""
112,"Zirconium Oxychloride","Chemical","ZrOCl₂·8H₂O","ZrOCl2.8H2O","250","g","Block 8","Laboratory Grade",""
113,"Beaker 50 mL Borosilicate","Glassware","SiO₂·B₂O₃","SiO2.B2O3","12","pcs","Cupboard 1 (54)","Borosilicate 3.3","Graduated low form beaker with spout."
114,"Beaker 100 mL Borosilicate","Glassware","SiO₂·B₂O₃","SiO2.B2O3","18","pcs","Cupboard 1 (54)","Borosilicate 3.3","Graduated low form beaker with spout."
115,"Beaker 250 mL Borosilicate","Glassware","SiO₂·B₂O₃","SiO2.B2O3","24","pcs","Cupboard 1 (54)","Borosilicate 3.3","Graduated low form beaker with spout."
116,"Beaker 500 mL Borosilicate","Glassware","SiO₂·B₂O₃","SiO2.B2O3","15","pcs","Cupboard 1 (54)","Borosilicate 3.3","Graduated low form beaker with spout."
117,"Beaker 1000 mL Borosilicate","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (54)","Borosilicate 3.3","Large capacity graduated beaker."
118,"Beaker 2000 mL Borosilicate","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (54)","Borosilicate 3.3","Heavy duty tall form beaker."
119,"Conical Flask 50 mL (Erlenmeyer)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","10","pcs","Cupboard 1 (54)","Borosilicate 3.3","Narrow neck titration flask."
120,"Conical Flask 100 mL (Erlenmeyer)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","16","pcs","Cupboard 1 (54)","Borosilicate 3.3","Narrow neck titration flask."
121,"Conical Flask 250 mL (Erlenmeyer)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","20","pcs","Cupboard 1 (54)","Borosilicate 3.3","Narrow neck titration flask, standard laboratory size."
122,"Conical Flask 500 mL (Erlenmeyer)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","12","pcs","Cupboard 1 (54)","Borosilicate 3.3","Wide base titration flask."
123,"Conical Flask 1000 mL (Erlenmeyer)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (54)","Borosilicate 3.3","Narrow neck preparation flask."
124,"Conical Flask 250 mL with Ground Joint (24/29)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (54)","Borosilicate 3.3","Interchangeable standard taper joint socket."
125,"Volumetric Flask 10 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (54)","Class A","With PE stopper and batch calibration certificate."
126,"Volumetric Flask 25 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (54)","Class A","With PE stopper, calibrated at 20°C."
127,"Volumetric Flask 50 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","12","pcs","Cupboard 1 (54)","Class A","High precision volumetric preparation standard."
128,"Volumetric Flask 100 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","15","pcs","Cupboard 1 (54)","Class A","Standard volumetric analysis flask with glass stopper."
129,"Volumetric Flask 250 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","10","pcs","Cupboard 1 (54)","Class A","Calibrated at 20°C with ground glass stopper."
130,"Volumetric Flask 500 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (54)","Class A","High accuracy standard solution preparation."
131,"Volumetric Flask 1000 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (54)","Class A","1L volumetric calibration standard."
132,"Amber Volumetric Flask 100 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","5","pcs","Cupboard 1 (54)","Class A Amber","For light-sensitive reagents (AgNO3, etc.)."
133,"Measuring Cylinder 10 mL Class B","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (54)","Borosilicate 3.3","Hexagonal glass base with spout."
134,"Measuring Cylinder 25 mL Class B","Glassware","SiO₂·B₂O₃","SiO2.B2O3","10","pcs","Cupboard 1 (54)","Borosilicate 3.3","Hexagonal glass base with graduation markings."
135,"Measuring Cylinder 50 mL Class B","Glassware","SiO₂·B₂O₃","SiO2.B2O3","12","pcs","Cupboard 1 (54)","Borosilicate 3.3","Graduated measuring cylinder with pouring spout."
136,"Measuring Cylinder 100 mL Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","10","pcs","Cupboard 1 (54)","Class A","Precision graduated cylinder with calibration marks."
137,"Measuring Cylinder 250 mL Class B","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (54)","Borosilicate 3.3","Hexagonal base with bumper guard ring."
138,"Measuring Cylinder 500 mL Class B","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (54)","Borosilicate 3.3","Large capacity measuring cylinder."
139,"Measuring Cylinder 1000 mL Class B","Glassware","SiO₂·B₂O₃","SiO2.B2O3","3","pcs","Cupboard 1 (54)","Borosilicate 3.3","1 Litre tall graduated cylinder."
140,"Volumetric Pipette 1 mL Class A","Glassware","Glass","Glass","6","pcs","Cupboard 1 (54)","Class A","One mark bulb pipette."
141,"Volumetric Pipette 2 mL Class A","Glassware","Glass","Glass","6","pcs","Cupboard 1 (54)","Class A","One mark bulb pipette."
142,"Volumetric Pipette 5 mL Class A","Glassware","Glass","Glass","10","pcs","Cupboard 1 (54)","Class A","Single volume transfer pipette."
143,"Volumetric Pipette 10 mL Class A","Glassware","Glass","Glass","12","pcs","Cupboard 1 (54)","Class A","Single volume transfer pipette."
144,"Volumetric Pipette 20 mL Class A","Glassware","Glass","Glass","6","pcs","Cupboard 1 (54)","Class A","Single volume bulb pipette."
145,"Volumetric Pipette 25 mL Class A","Glassware","Glass","Glass","10","pcs","Cupboard 1 (54)","Class A","Standard volumetric transfer pipette."
146,"Graduated Measuring Pipette 1 mL (0.01 mL div)","Glassware","Glass","Glass","8","pcs","Cupboard 1 (54)","Class AS","Serological type Mohr pipette."
147,"Graduated Measuring Pipette 5 mL (0.05 mL div)","Glassware","Glass","Glass","10","pcs","Cupboard 1 (54)","Class AS","Graduated measuring pipette."
148,"Graduated Measuring Pipette 10 mL (0.1 mL div)","Glassware","Glass","Glass","12","pcs","Cupboard 1 (54)","Class AS","Graduated measuring pipette."
149,"Burette 25 mL with PTFE Stopcock Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (54)","Class A PTFE","Zero-grease PTFE key stopcock for titrations."
150,"Burette 50 mL with PTFE Stopcock Class A","Glassware","SiO₂·B₂O₃","SiO2.B2O3","14","pcs","Cupboard 1 (54)","Class A PTFE","Precision titration burette with Schellbach stripe."
151,"Amber Burette 50 mL with PTFE Stopcock","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (54)","Class A Amber","For light-sensitive titrations (permanganate/iodine)."
152,"Separating Funnel 100 mL (Conical with PTFE Key)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","5","pcs","Cupboard 1 (56)","Borosilicate 3.3","Pear-shaped with interchangeable stopper."
153,"Separating Funnel 250 mL (Pear Shaped)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (56)","Borosilicate 3.3","With PTFE stopcock and 19/26 stopper."
154,"Separating Funnel 500 mL (Pear Shaped)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (56)","Borosilicate 3.3","Liquid-liquid extraction funnel."
155,"Separating Funnel 1000 mL (Cylindrical)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","3","pcs","Cupboard 1 (56)","Borosilicate 3.3","High volume extraction vessel."
156,"Glass Filter Funnel 50 mm Diameter (Short Stem)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","10","pcs","Cupboard 1 (56)","Borosilicate 3.3","60 degree angle conical filtration funnel."
157,"Glass Filter Funnel 75 mm Diameter (Long Stem)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (56)","Borosilicate 3.3","Long stem for rapid gravity filtration."
158,"Glass Filter Funnel 100 mm Diameter","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (56)","Borosilicate 3.3","Heavy duty large filtration funnel."
159,"Hirsch Funnel (Porcelain / Glass Sintered G3)","Glassware","Porcelain/Glass","Porcelain/Glass","4","pcs","Cupboard 1 (56)","Sintered Disc","Microscale vacuum filtration funnel."
160,"Büchner Funnel 90 mm (Porcelain)","Glassware","Porcelain","Porcelain","5","pcs","Cupboard 1 (56)","Glazed Porcelain","Standard vacuum filtration funnel."
161,"Büchner Funnel 120 mm (Porcelain)","Glassware","Porcelain","Porcelain","4","pcs","Cupboard 1 (56)","Glazed Porcelain","Large diameter vacuum filtration funnel."
162,"Büchner Vacuum Flask 250 mL (Filter Flask)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (56)","Heavy Wall","With side tubulation for vacuum hose."
163,"Büchner Vacuum Flask 500 mL (Filter Flask)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (56)","Heavy Wall","Heavy wall glass flask with side hose barb."
164,"Büchner Vacuum Flask 1000 mL (Filter Flask)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (56)","Heavy Wall","1L thick wall vacuum filtering flask."
165,"Liebig Condenser 200 mm (Joint 24/29)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (56)","Borosilicate 3.3","Straight inner tube water-cooled condenser."
166,"Liebig Condenser 300 mm (Joint 24/29)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (56)","Borosilicate 3.3","Standard distillation condenser."
167,"Graham Condenser (Coiled Tube) 300 mm","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (56)","Borosilicate 3.3","Spiral inner coil condenser for high efficiency cooling."
168,"Allihn Condenser (Bulb Reflux) 300 mm","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (56)","Borosilicate 3.3","Spherical bulbs inside jacket for vertical reflux synthesis."
169,"Dimroth Condenser 300 mm","Glassware","SiO₂·B₂O₃","SiO2.B2O3","3","pcs","Cupboard 1 (56)","Borosilicate 3.3","Internal cooling coil with vapor jacket."
170,"Round Bottom Flask 100 mL (Single Neck 24/29)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (56)","Borosilicate 3.3","Spherical distillation / boiling flask."
171,"Round Bottom Flask 250 mL (Single Neck 24/29)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","10","pcs","Cupboard 1 (56)","Borosilicate 3.3","Standard organic synthesis reaction flask."
172,"Round Bottom Flask 500 mL (Single Neck 24/29)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (56)","Borosilicate 3.3","Large boiling flask."
173,"Round Bottom Flask 250 mL (Two Neck 24/29 + 14/23)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (56)","Borosilicate 3.3","Two neck reaction vessel for inert gas / thermometer."
174,"Round Bottom Flask 500 mL (Three Neck 24/29)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","3","pcs","Cupboard 1 (56)","Borosilicate 3.3","Three neck flask for complex reaction setups."
175,"Distillation Head / Claisen Adapter (24/29)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (56)","Borosilicate 3.3","Multi-way adapter for distillation apparatus."
176,"Vacuum Receiver Adapter / Pig Adapter (24/29)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","3","pcs","Cupboard 1 (56)","Borosilicate 3.3","With vacuum takeoff adapter."
177,"Thermometer Pocket Adapter (Joint 14/23)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (56)","Borosilicate 3.3","Ground joint thermometer holder with screw cap."
178,"Soxhlet Extraction Apparatus 250 mL","Glassware","SiO₂·B₂O₃","SiO2.B2O3","2","sets","Cupboard 1 (56)","Complete Set","Extractor body, Allihn condenser, and 500mL flat bottom flask."
179,"Dean-Stark Trap 10 mL (with Stopcock)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","2","pcs","Cupboard 1 (56)","Borosilicate 3.3","Azeotropic water separator with PTFE key."
180,"Test Tubes 15 x 125 mm (Rimmed)","Glassware","Borosilicate","Borosilicate","100","pcs","Cupboard 1 (56)","Borosilicate Glass","Standard qualitative reaction tubes."
181,"Test Tubes 18 x 150 mm (Medium)","Glassware","Borosilicate","Borosilicate","80","pcs","Cupboard 1 (56)","Borosilicate Glass","Medium laboratory test tubes."
182,"Boiling Tubes 25 x 150 mm (Heavy Wall)","Glassware","Borosilicate","Borosilicate","40","pcs","Cupboard 1 (56)","Heavy Duty","Wide diameter tubes for direct flame heating."
183,"Centrifuge Tubes 15 mL Conical Glass","Glassware","Borosilicate","Borosilicate","24","pcs","Cupboard 1 (56)","Graduated","Conical bottom graduated centrifuge tubes."
184,"Nessler Cylinders 50 mL Matched Pair","Glassware","Glass","Glass","6","pairs","Cupboard 1 (56)","Matched Optic","Flat optical bottom color comparison tubes."
185,"Nessler Cylinders 100 mL Matched Pair","Glassware","Glass","Glass","4","pairs","Cupboard 1 (56)","Matched Optic","Colorimetric comparison standard tubes."
186,"Watch Glass 50 mm Diameter","Glassware","Soda Glass","Soda Glass","15","pcs","Cupboard 1 (56)","Polished Edges","Beaker cover and small sample evaporation dish."
187,"Watch Glass 75 mm Diameter","Glassware","Soda Glass","Soda Glass","20","pcs","Cupboard 1 (56)","Polished Edges","Standard watch glass dish."
188,"Watch Glass 100 mm Diameter","Glassware","Soda Glass","Soda Glass","15","pcs","Cupboard 1 (56)","Polished Edges","Large watch glass dish."
189,"Watch Glass 150 mm Diameter","Glassware","Soda Glass","Soda Glass","8","pcs","Cupboard 1 (56)","Polished Edges","Wide coverage dish."
190,"Petri Dishes 90 mm Glass (Pairs with Lids)","Glassware","Borosilicate","Borosilicate","25","pairs","Cupboard 1 (56)","Autoclavable","Reusable borosilicate culture dishes."
191,"Petri Dishes 60 mm Glass (Pairs with Lids)","Glassware","Borosilicate","Borosilicate","15","pairs","Cupboard 1 (56)","Autoclavable","Small culture and crystal growth dishes."
192,"Glass Weighing Bottle 25 x 40 mm (Ground Stopper)","Glassware","Borosilicate","Borosilicate","10","pcs","Cupboard 1 (56)","Analytical","Low form weighing bottle with ground-in lid."
193,"Glass Weighing Bottle 40 x 70 mm (Tall Form)","Glassware","Borosilicate","Borosilicate","8","pcs","Cupboard 1 (56)","Analytical","Tall form for moisture-sensitive analytical samples."
194,"Crystallizing Dish 100 mm (Flat Bottom with Spout)","Glassware","Borosilicate","Borosilicate","6","pcs","Cupboard 1 (56)","Borosilicate 3.3","Heavy wall flat bottom dish for recrystallization."
