Item No,Item Name,Category,Formula,Plain Formula,Quantity,Unit,Location / Block,Grade,Notes
421,"Test Tube (15 × 150 mm)","Glassware","Borosilicate","Borosilicate","100","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Standard test tubes 15 × 150 mm"
422,"Test Tube (18 × 150 mm)","Glassware","Borosilicate","Borosilicate","1","rack","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Medium test tubes 18 × 150 mm"
423,"Test Tube (18 × 180 mm)","Glassware","Borosilicate","Borosilicate","1","rack","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Long test tubes 18 × 180 mm"
424,"Test Tube (25 × 150 mm / Boiling Tube)","Glassware","Borosilicate","Borosilicate","50","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Heavy wall boiling tubes 25 × 150 mm"
425,"Test Tubes Assorted","Glassware","Borosilicate","Borosilicate","1","set","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Assorted qualitative laboratory test tubes"
426,"Test Tubes Small (8 × 75 mm) with Cap (12 × 75 mm)","Glassware","Borosilicate / PP Cap","Borosilicate / PP","58","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Mini tubes with screw/plug caps"
427,"Thread Seal PTFE Tape","Equipment","PTFE","PTFE","1","roll","Cupboard 1 (40)","Standard Lab Grade","Polytetrafluoroethylene seal tape for gas and liquid tight fittings"
428,"Titanium Tetra Isopropoxide (50 mL)","Chemical","Ti[OCH(CH₃)₂]₄","Ti[OCH(CH3)2]4","1","bottle (50 mL)","Cupboard 1 (40)","AR / Laboratory Reagent","TTIP titanium alkoxide precursor 50 mL"
429,"Titanium(IV) Isopropoxide (500 mL)","Chemical","Ti[OCH(CH₃)₂]₄","Ti[OCH(CH3)2]4","1","bottle (500 mL)","Cupboard 1 (40)","AR / Laboratory Reagent","Titanium(IV) isopropoxide 500 mL"
430,"Transfer Pipettes / Plastic Droppers","Equipment","LDPE Plastic","LDPE","1","pack","Cupboard 1 (40)","Standard Lab Grade","Disposable transfer droppers"
431,"Volumetric Flask (10 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","9","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Class A volumetric flasks 10 mL"
432,"Volumetric Flask (25 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Class A volumetric flasks 25 mL"
433,"Volumetric Flask (5 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","7","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Class A micro volumetric flasks 5 mL"
434,"Volumetric Flask (50 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","3","pcs","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Class A volumetric flasks 50 mL"
435,"Volumetric Flask (500 mL)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","1","pc","Cupboard 1 (40)","Borosilicate 3.3 / Class A","Class A volumetric flask 500 mL"
436,"Wash Bottle (Large LDPE)","Equipment","LDPE","LDPE","3","pcs","Cupboard 1 (40)","Standard Lab Grade","Squeeze wash bottles with integral delivery tube"
437,"Weighing Boats (Opened pack)","Equipment","Polystyrene","PS","<500","boats","Cupboard 1 (40)","Standard Lab Grade","Opened pack (<500 boats) - Anti-static pouring dishes"
438,"Weighing Boats (100 pieces pack Sealed)","Equipment","Polystyrene","PS","1","pack (100 pcs)","Cupboard 1 (40)","Standard Lab Grade","Sealed pack of 100 anti-static weighing boats"
439,"Zinc Acetate (500 g)","Chemical","Zn(CH₃COO)₂·2H₂O","Zn(CH3COO)2.2H2O","1","bottle (500 g)","Cupboard 1 (40)","AR / Laboratory Reagent","Zinc acetate dihydrate 500 g"
